,Name,City,MinPrice,MaxPrice,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,Payment_Method
503,Auberge_du_Vert_Mont,Boeschepe,50,78,Creative,2.7035525,50.7933016,33328494126.0,https://guide.michelin.com/en/hauts-de-france/boeschepe/restaurant/auberge-du-vert-mont,https://www.vertmont.fr/,1 MICHELIN Star,"Car park,Credit card / Debit card accepted,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Visa credit card"
504,Le_Pressoir,Saint-Avé,39,120,"Creative, Modern Cuisine",-2.7508368,47.6966578,33297608763.0,https://guide.michelin.com/en/bretagne/saint-av/restaurant/le-pressoir,http://www.le-pressoir.fr,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
505,Le_Kaïku,Saint-Jean-de-Luz,45,90,Modern Cuisine,-1.6644341,43.3887002,33559261320.0,https://guide.michelin.com/en/nouvelle-aquitaine/saint-jean-de-luz/restaurant/le-kaiku,https://www.kaiku.fr/,1 MICHELIN Star,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
506,Villa_Salone,Salon-de-Provence,58,98,Modern Cuisine,5.0986066,43.64144,33490562801.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/salon-de-provence/restaurant/villa-salone,https://villa-salone.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
507,Sushi_Shunei,Paris,120,180,"Japanese, Sushi",2.3358486,48.8850415,33644661131.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/sushi-shunei,https://www.sushishunei.com/,1 MICHELIN Star,"Air conditioning,Counter dining,Credit card / Debit card accepted",Credit card / Debit card accepted
508,La_Source,Saint-Galmier,65,95,Modern Cuisine,4.3105689,45.588937,33477527500.0,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-galmier/restaurant/la-source,https://www.lacharpiniere.com/fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
509,Äponem_-_Auberge_du_Presbytère,Vailhan,125,125,Modern Cuisine,3.2988056,43.5544377,33467247649.0,https://guide.michelin.com/en/occitanie/vailhan/restaurant/aponem-auberge-du-presbytere,https://www.aponem-aubergedupresbytere.fr/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access","Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
510,Pur'_-_Jean-François_Rouquette,Paris,185,375,Creative,2.3305026,48.8685936,33158711060.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pur-jean-francois-rouquette,https://www.paris-restaurant-pur.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
511,Alliance,Paris,59,195,Modern Cuisine,2.3532787,48.8500098,33175515754.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alliance,https://www.restaurant-alliance.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Visa credit card"
512,ERH,Paris,80,140,Modern Cuisine,2.3494971,48.8644218,33145084937.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/erh,https://www.restaurant-erh.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Notable sake list,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
513,L'Archeste,Paris,60,190,Creative,2.2782878,48.8617373,33140716968.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-archeste,https://www.archeste.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
514,Le_Faham_by_Kelly_Rangama,Paris,74,102,Modern Cuisine,2.3117036,48.8857122,33153814818.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-faham-by-kelly-rangama,https://lefaham.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
515,Oxte,Paris,55,115,Mexican,2.2956526,48.8757794,33145751515.0,https://guide.michelin.com/en/ile-de-france/paris/restaurant/oxte,https://www.restaurant-oxte.com/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
516,Pollen,Avignon,35,80,Creative,4.8035568,43.9493415,33486349374.0,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/pollen1000267,https://www.pollen-restaurant.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
517,Le_Pavillon_des_Boulevards,Bordeaux,45,140,Creative,-0.5926303,44.853277,33556815102.0,https://guide.michelin.com/en/nouvelle-aquitaine/bordeaux/restaurant/le-pavillon-des-boulevards,https://lepavillondesboulevards.fr/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card","American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
